LON,LAT,NUMBER,STREET,UNIT,POSTCODE,ID
-73.9395464,40.7253316,608,MORGAN AVENUE,,11222,3087169
-73.9233025,40.6922126,962,BUSHWICK AVENUE,,11221,3099946
-73.9185621,40.7003812,309,HARMAN STREET,,11237,3099357
-73.9239209,40.6937636,1115,GREENE AVENUE,,11221,3099564
-73.9181524,40.6996052,1341,GREENE AVENUE,,11237,3099731
-73.916312,40.7014682,1415,GREENE AVENUE,,11237,3099785
-73.9372884,40.7042926,185,MOORE STREET,,11206,3094014
-73.9385968,40.7044174,3,BUSHWICK COURT,,11206,3094030
-73.9415111,40.7037747,100,MOORE STREET,,11206,3094128
-73.9609142,40.7045847,135,RODNEY STREET,,11211,3076537
-73.9552551,40.7352618,1067,MANHATTAN AVENUE,,11222,3082465
-73.9395591,40.7093059,229,SCHOLES STREET,,11206,3092816
-73.9459476,40.7115733,663,GRAND STREET,,11211,3089845
-73.9463964,40.7115305,647,GRAND STREET,,11211,3089850
-73.9409069,40.715768,53,MASPETH AVENUE,,11211,3091204
-73.9366236,40.7146106,985,METROPOLITAN AVENUE,,11211,3091361
-73.9500058,40.7109387,538,GRAND STREET,,11206,3089995
-73.9434301,40.7077362,167,GRAHAM AVENUE,,11206,3093191
-73.941275,40.7134835,43,BUSHWICK AVENUE,,11211,3091529
-73.9406128,40.711373,116,BUSHWICK AVENUE,,11206,3090192
-73.9342202,40.690467,845,GREENE AVENUE,,11221,3054653
-73.9727045,40.6842732,15,ATLANTIC COMMONS,,11217,3072760
-73.9450246,40.6706728,264,BROOKLYN AVENUE,A,11213,3039790
-73.9468152,40.6712585,956,ST JOHNS PLACE,,11213,3039818
-73.9440688,40.6705432,977,LINCOLN PLACE,,11213,3039863
-73.9403131,40.6709287,1148,ST JOHNS PLACE,,11213,3039916
-73.9499873,40.6617462,379,LINCOLN ROAD,,11225,3043227
-73.9450539,40.664938,594,MONTGOMERY STREET,,11225,3042322
-73.9380918,40.6763715,1507,DEAN STREET,,11213,3043616
-73.9382316,40.6763784,1503,DEAN STREET,,11213,3043618
-73.9223975,40.6760376,1932,PACIFIC STREET,,11233,3043794
-73.9565426,40.6633692,160,EMPIRE BOULEVARD,,11225,3042467
-73.9596322,40.6619659,45,LEFFERTS AVENUE,,11225,3042658
-73.9218388,40.678762,1932,FULTON STREET,,11233,3059713
-73.9293911,40.6940311,1118,DEKALB AVENUE,,11221,3097894
-73.9174727,40.6919967,115,WOODBINE STREET,,11221,3101849
-73.9250987,40.7064165,1160,FLUSHING AVENUE,,11237,3095468
-73.8882116,40.6820422,88,WARWICK STREET,,11207,3117538
-73.8836837,40.6791083,274,LINWOOD STREET,,11208,3118888
